Series15_HealthyLungBiopsy_1,Series15_HealthyLungBiopsy_2,Series15_COVID19Lung_1,Series15_COVID19Lung_2
MIR4432,0,0,0,0
BCL11A,44,62,1,14
PAPOLG,717,195,0,16
REL,431,46,0,12
PUS10,225,109,0,0
PEX13,590,168,0,8
KIAA1841,96,154,0,1
LOC339803,12,15,0,4
C2orf74,196,312,0,4
USP34,4441,1163,2,26
SNORA70B,2,3,0,0
XPO1,2458,934,0,39
FAM161A,37,9,0,0
CCT4,8655,2606,1,47
COMMD1,775,459,1,25
B3GNT2,1043,372,0,6
MIR5192,1,0,0,0
TMEM17,19,23,0,0
EHBP1,396,419,5,26
LOC100132215,9,10,0,0
OTX1,8,5,3,0
DBIL5P2,1,2,0,0
WDPCP,73,68,0,0
MDH1,1902,1161,0,24
UGP2,3828,2078,1,96
VPS54,976,573,0,0
PELI1,3293,1646,17,783
LINC00309,1,0,0,5
LGALSL,457,806,0,21
AFTPH,1501,604,0,42
MIR4434,0,0,0,0
SERTAD2,3216,741,0,13
SLC1A4,614,218,0,13
CEP68,357,441,0,0
RAB1A,7913,3023,8,204
ACTR2,5965,2975,6,192
SPRED2,1959,721,3,21
MIR4778,0,0,0,0
MEIS1-AS3,6,0,0,0
MEIS1,817,732,0,0
ETAA1,175,136,0,0
C1D,418,267,0,0
WDR92,73,134,0,0
PNO1,3063,934,5,51
PPP3R1,1933,1378,0,3
CNRIP1,2119,983,0,13
PLEK,2115,995,251,6037
FBXO48,60,32,0,0
APLF,87,26,0,10
PROKR1,0,0,0,0
ARHGAP25,1607,476,0,27
BMP10,1,0,0,0
GKN2,883,341,0,0
GKN1,0,0,0,0
ANTXR1,1123,2524,6,57
MIR3126,0,0,0,0
GFPT1,2723,457,4,21
NFU1,566,624,0,12
AAK1,1187,672,0,5
SNORA36C,0,1,0,0
ANXA4,1396,1421,0,43
GMCL1,181,39,0,18
SNRNP27,1143,471,4,69
MXD1,1722,929,86,1541
ASPRV1,39,67,0,10
PCBP1-AS1,222,79,1,8
PCBP1,7899,3534,7,510
C2orf42,324,156,0,0
TIA1,1560,929,0,19
PCYOX1,549,907,2,5
SNRPG,4541,931,0,52
FAM136A,777,390,0,20
TGFA,720,32,0,0
ADD2,12,61,0,2
FIGLA,0,14,0,0
CLEC4F,2,88,0,0
CD207,1,31,0,12
VAX2,3,59,0,0
ATP6V1B1,38,152,0,0
ANKRD53,21,16,0,0
TEX261,1585,1287,2,23
OR7E91P,1,0,0,0
NAGK,1377,988,7,166
MCEE,132,120,0,0
MPHOSPH10,1233,537,0,0
PAIP2B,62,113,0,0
ZNF638,3656,1171,4,30
DYSF,2163,1907,14,191
CYP26B1,348,51,0,0
EXOC6B,145,48,0,0
SPR,371,277,2,5
EMX1,35,0,0,0
SFXN5,185,278,0,0
RAB11FIP5,2048,696,0,19
NOTO,1,0,1,0
SMYD5,678,439,1,1
PRADC1,140,387,0,0
CCT7,8995,3440,1,71
FBXO41,72,50,0,0
EGR4,111,18,0,0
ALMS1,387,194,0,10
NAT8,0,0,0,0
NAT8B,3,3,0,0
TPRKB,431,334,0,28
DUSP11,752,361,0,13
C2orf78,0,0,0,0
STAMBP,634,496,0,18
ACTG2,556,5172,7,101
DGUOK,2201,1101,10,187
TET3,1956,228,2,13
BOLA3,394,333,2,25
BOLA3-AS1,83,52,0,4
MOB1A,1390,382,5,73
MTHFD2,4401,2710,7,172
SLC4A5,317,376,0,12
DCTN1,2386,2859,4,73
DCTN1-AS1,6,12,0,0
C2orf81,25,55,0,1
WDR54,615,361,0,7
RTKN,402,337,0,3
INO80B,6,10,0,0
INO80B-WBP1,0,0,0,0
WBP1,38,65,0,10
MOGS,1553,716,1,23
MRPL53,967,799,0,26
CCDC142,80,94,0,3
TTC31,627,450,0,2
LBX2,4,0,0,0
LBX2-AS1,93,59,0,2
PCGF1,997,225,1,6
TLX2,2,0,0,0
DQX1,6,9,0,0
AUP1,6616,2424,2,39
HTRA2,1405,473,2,2
LOXL3,223,70,0,0
DOK1,240,242,0,0
M1AP,6,13,0,0
SEMA4F,103,83,0,0
HK2,7260,730,11,69
POLE4,1062,1521,3,70
TACR1,93,251,0,0
MIR5000,4,0,0,0
EVA1A,1168,183,0,9
MRPL19,609,368,0,22
GCFC2,585,374,0,0
LRRTM4,0,53,0,0
SNAR-H,0,0,0,0
REG3G,0,0,0,0
REG1B,0,0,0,0
REG1A,0,1,0,0
REG3A,0,0,0,0
CTNNA2,0,8,0,0
MIR4264,0,0,0,0
LRRTM1,0,2,0,0
FUNDC2P2,0,0,0,0
SUCLG1,1841,1179,9,10
DNAH6,59,15,0,0
TRABD2A,45,80,0,0
TMSB10,32674,55023,406,3466
KCMF1,2804,1229,7,86
TCF7L1,306,433,0,0
TGOLN2,4010,2408,6,97
RETSAT,441,672,0,7
ELMOD3,504,317,0,2
CAPG,3481,2984,13,30
SH2D6,0,9,0,0
MAT2A,8432,10028,2,39
GGCX,809,392,3,8
VAMP8,2872,3275,9,75
VAMP5,2161,3647,0,28
RNF181,6104,1306,4,65
TMEM150A,754,731,3,0
USP39,2057,999,3,22
C2orf68,547,426,0,14
SFTPB,14027,15552,151,1425
GNLY,3108,831,49,279
ATOH8,380,2314,1,4
LOC284950,6,61,0,0
ST3GAL5,412,258,0,15
POLR1A,705,165,0,7
PTCD3,1666,591,0,1
SNORD94,81,6,0,0
IMMT,2525,1090,0,24
MIR4779,0,0,0,0
MRPL35,725,370,0,16
REEP1,24,146,0,0
KDM3A,3758,751,0,12
CHMP3,40,47,0,0
RNF103-CHMP3,4,5,0,0
RNF103,1699,503,0,12
RMND5A,936,654,0,6
CD8A,820,264,0,0
CD8B,266,52,0,0
ANAPC1P1,0,0,0,0
RGPD2,1,0,0,0
RGPD1,35,3,0,0
PLGLB2,0,0,0,0
PLGLB1,0,0,0,0
LOC285074,53,48,0,0
MIR4435-1,0,0,0,0
MIR4435-2,0,0,0,0
KRCC1,521,446,0,20
SMYD1,1,0,0,0
MIR4780,0,0,0,0
FABP1,0,8,0,0
THNSL2,114,569,1,1
FOXI3,0,0,0,0
TEX37,0,0,0,0
EIF2AK3,1548,327,10,7
RPIA,1250,577,0,2
ANKRD36BP2,6,16,0,0
MIR4436A,0,0,0,0
GGT8P,1,0,0,0
ACTR3BP2,0,0,0,0
ANKRD20A8P,1,0,0,0
LOC442028,0,3,0,0
TEKT4,20,0,0,0
MAL,157,474,0,0
MRPS5,2015,1012,3,25
ZNF514,316,142,0,0
ZNF2,162,72,0,0
PROM2,33,46,0,0
KCNIP3,31,99,0,0
FAHD2A,323,261,0,0
TRIM43B,0,0,0,0
TRIM43,0,0,0,0
FAHD2CP,39,26,0,0
GPAT2,132,166,0,0
ADRA2B,125,59,0,0
ASTL,24,5,0,0
DUSP2,933,234,0,59
STARD7,3229,2593,3,37
TMEM127,2172,1344,2,26
CIAO1,1675,1099,5,21
SNRNP200,5148,1909,1,28
ITPRIPL1,97,8,0,0
NCAPH,43,14,0,0
NEURL3,8294,6,3,14
ARID5A,3034,3176,2,33
KANSL3,3093,1110,2,10
FER1L5,10,5,0,0
LMAN2L,601,221,0,0
CNNM4,856,155,3,8
MIR3127,0,0,0,0
CNNM3,376,214,0,11
ANKRD23,22,15,0,0
ANKRD39,126,213,0,1
SEMA4C,2749,1828,0,8
FAM178B,0,16,0,0
FAHD2B,107,158,0,0
ANKRD36,145,93,0,0
LOC100506123,211,144,0,0
ANKRD36B,6,1,0,0
COX5B,3372,3253,1,36
ACTR1B,1845,1460,0,0
ZAP70,343,103,0,0
TMEM131,1284,415,0,9
VWA3B,23,11,0,5
CNGA3,6,7,0,0
INPP4A,711,417,1,29
COA5,591,478,0,3
UNC50,1462,450,0,35
MGAT4A,1646,1333,1,28
KIAA1211L,323,633,0,5
TSGA10,51,33,0,0
C2orf15,13,3,0,0
LIPT1,309,115,0,8
MITD1,1025,328,0,28
MRPL30,478,367,2,24
LYG2,0,1,0,0
LYG1,62,25,0,1
TXNDC9,638,405,1,5
EIF5B,7412,3397,5,201
REV1,1740,772,0,9
AFF3,174,246,0,13
LONRF2,84,95,0,0
CHST10,194,356,0,0
NMS,0,0,0,0
PDCL3,585,292,0,4
NPAS2,462,197,0,7
RPL31,29054,19446,84,1902
TBC1D8,1184,882,2,59
CNOT11,1078,788,0,23
SNORD89,72,20,0,0
RNF149,2709,961,6,486
MIR5696,0,0,0,0
CREG2,2,13,0,0
RFX8,376,5,0,0
MAP4K4,9382,2035,10,164
IL1R2,48,671,11,281
IL1R1,12071,6807,11,194
IL1RL2,218,26,0,0
IL1RL1,7399,813,32,368
IL18R1,1058,1046,1,43
IL18RAP,454,266,4,69
MIR4772,0,0,0,0
SLC9A4,1,0,0,0
SLC9A2,0,5,0,1
MFSD9,79,42,0,0
TMEM182,23,22,0,0
LOC100287010,0,0,0,0
POU3F3,0,0,0,0
MRPS9,692,435,2,6
GPR45,1,0,0,0
TGFBRAP1,204,49,1,0
C2orf49,302,62,0,14
FHL2,624,565,1,8
LOC285000,0,3,0,0
NCK2,1007,1091,0,27
C2orf40,59,429,0,0
UXS1,1257,973,0,29
PLGLA,0,0,0,0
RGPD3,11,0,0,0
ST6GAL2,4,11,0,13
RGPD4,0,13,0,0
SLC5A7,1,0,3,0
SULT1C3,0,0,0,0
SULT1C2,83,10,0,0
SULT1C2P1,1,0,0,0
SULT1C4,57,91,0,0
GCC2,1139,382,11,1
LIMS1,4420,1104,5,90
RANBP2,4607,1349,2,68
CCDC138,23,14,0,9
EDAR,6,1,0,0
SH3RF3-AS1,80,25,0,0
SH3RF3,1976,884,1,10
MIR4265,2,0,0,0
MIR4266,1,0,0,0
SEPT10,1343,1464,0,28
SOWAHC,405,275,0,0
RGPD5,0,0,0,0
RGPD6,0,0,0,0
LIMS3,0,0,0,0
LIMS3-LOC440895,0,0,0,0
LOC440895,0,0,0,0
LOC100288570,0,0,0,0
MIR4267,0,0,0,0
MALL,87,55,0,0
MIR4436B2,0,0,0,0
MIR4436B1,0,0,0,0
NPHP1,126,108,0,0
LOC100507334,0,3,0,0
BUB1,24,36,0,0
ACOXL,207,48,0,0
BCL2L11,700,457,0,9
ANAPC1,1128,405,0,5
MERTK,253,246,0,0
TMEM87B,779,337,0,12
FBLN7,161,81,3,0
ZC3H8,241,89,0,2
ZC3H6,286,327,0,0
RGPD8,0,0,0,0
TTL,1273,787,0,1
POLR1B,1106,334,0,8
CHCHD5,286,399,0,8
FLJ42351,12,5,0,0
SLC20A1,3961,2576,2,80
CKAP2L,17,4,0,0
IL1A,2735,96,30,591
IL1B,41457,946,367,6420
IL37,1,0,0,0
IL36G,90,0,0,2
IL36A,0,0,0,0
IL36B,10,0,0,0
IL36RN,52,0,0,0
IL1F10,0,0,0,0
IL1RN,10570,884,862,11641
PSD4,520,207,0,5
PAX8,180,153,0,0
CBWD2,470,170,0,6
FOXD4L1,12,0,0,0
FAM138B,6,0,0,0
WASH2P,93,205,1,1
DDX11L2,43,2,0,0
RPL23AP7,106,47,0,0
RABL2A,81,117,0,0
SLC35F5,783,201,2,4
MIR4782,0,0,0,0
ACTR3,13406,2028,27,918
LOC100499194,7,0,0,0
DPP10,0,4,0,0
DDX18,4461,1271,0,72
CCDC93,3874,401,0,27
INSIG2,1733,353,0,5
EN1,0,0,0,0
MARCO,1249,1883,6,18
C1QL2,3,1,0,0
STEAP3,447,196,0,12
C2orf76,185,185,0,10
DBI,4117,2445,11,140
TMEM37,56,326,0,0
SCTR,41,54,0,0
TMEM177,133,49,0,0
PTPN4,290,220,0,15
EPB41L5,1326,618,1,32
TMEM185B,1672,772,0,16
RALB,3422,3204,13,345
INHBB,91,979,3,0
GLI2,195,55,0,3
TFCP2L1,302,111,0,0
CLASP1,960,515,8,9
RNU4ATAC,41,7,3,11
TSN,1463,1062,4,9
CNTNAP5,0,10,0,0
GYPC,4720,3260,2,46
BIN1,1606,876,0,4
CYP27C1,14,29,0,0
ERCC3,1203,631,0,20
MAP3K2,2006,606,4,37
PROC,9,0,0,0
MIR4783,0,0,0,0
IWS1,3090,735,1,18
MYO7B,63,217,1,0
LIMS2,274,4440,2,0
GPR17,15,45,0,0
SFT2D3,156,135,0,6
WDR33,2225,916,2,30
POLR2D,1191,604,1,9
AMMECR1L,1946,657,0,16
SAP130,853,298,0,6
UGGT1,1089,357,0,31
HS6ST1,320,347,0,1
RAB6C,3,21,0,0
POTEF,2,1,0,0
CCDC74B,24,28,0,0
SMPD4,1034,650,0,0
MZT2B,652,834,0,0
TUBA3E,0,0,0,0
CCDC115,735,1003,0,11
IMP4,3157,1290,1,14
PTPN18,746,1657,3,17
CFC1B,0,0,0,0
CFC1,0,0,0,0
CYP4F30P,1,0,0,0
GPR148,0,0,0,0
AMER3,0,0,0,0
ARHGEF4,48,60,3,0
FAM168B,4665,2040,2,15
PLEKHB2,8912,1751,1,47
POTEE,4,4,0,0
LOC440910,0,0,0,0
TUBA3D,1,0,0,0
MZT2A,350,720,0,6
MIR4784,3,0,0,0
LOC150776,653,419,0,1
CCDC74A,37,129,0,10
C2orf27A,32,7,0,0
C2orf27B,0,0,0,0
ANKRD30BL,0,0,0,0
MIR663B,0,0,0,0
GPR39,12,2,0,0
LYPD1,5,2,0,10
NCKAP5,283,222,0,1
MIR3679,0,0,0,0
MGAT5,2870,784,2,0
TMEM163,481,88,0,0
ACMSD,12,0,0,0
CCNT2,1979,543,1,10
MAP3K19,37,7,0,2
RAB3GAP1,2670,822,6,54
ZRANB3,35,21,0,3
R3HDM1,309,349,1,12
MIR128-1,0,0,0,0
UBXN4,4216,1220,3,147
LCT,5,0,0,0
LOC100507600,0,0,0,0
MCM6,522,428,0,6
DARS,2379,783,2,19
CXCR4,7770,884,12,65
THSD7B,1,0,5,0
HNMT,286,705,0,17
SPOPL,559,411,3,38
NXPH2,2,2,0,0
YY1P2,0,0,0,0
LRP1B,1,20,0,0
KYNU,1376,197,1,59
ARHGAP15,238,477,3,66
GTDC1,401,359,3,31
ZEB2,4604,1490,6,111
ZEB2-AS1,6,9,0,0
PABPC1P2,0,13,0,0
ACVR2A,451,189,0,6
ORC4,589,290,0,2
MBD5,167,90,1,0
EPC2,583,290,0,5
KIF5C,74,93,0,0
LYPD6B,27,3,0,0
LYPD6,2,28,0,0
MMADHC,3293,979,10,119
RND3,10138,2008,2,32
RBM43,15,71,0,9
NMI,849,411,7,161
TNFAIP6,2339,287,16,533
MIR4773-2,0,0,0,0
MIR4773-1,0,0,0,0
RIF1,1141,208,0,13
NEB,156,87,5,0
ARL5A,668,503,0,26
CACNB4,165,30,0,0
STAM2,730,370,3,31
FMNL2,4379,553,3,57
PRPF40A,3160,1005,3,86
ARL6IP6,471,217,0,13
RPRM,23,2,0,0
GALNT13,44,27,0,0
LOC100144595,0,13,0,0
KCNJ3,0,10,0,0
NR4A2,3224,1794,5,3
GPD2,826,327,4,28
GALNT5,135,24,0,6
ERMN,70,8,0,6
CYTIP,1194,472,4,187
ACVR1C,12,9,0,9
ACVR1,1106,250,0,0
UPP2,3,0,0,0
CCDC148-AS1,0,0,0,0
CCDC148,10,9,0,6
PKP4,2283,1836,1,33
DAPL1,1,6,0,0
TANC1,1758,1135,0,4
WDSUB1,221,162,0,0
BAZ2B,781,542,0,37
MARCH7,3448,853,4,136
LY75-CD302,0,0,0,0
CD302,1,2,0,0
LY75,111,36,2,6
PLA2R1,26,69,0,0
ITGB6,693,29,0,0
RBMS1,4983,2612,11,290
MIR4785,28,3,0,0
TANK,4021,583,8,60
PSMD14,3001,731,0,59
TBR1,1,0,0,0
AHCTF1P1,22,2,0,0
SLC4A10,15,0,0,0
DPP4,751,188,2,8
GCG,2,1,0,0
FAP,947,55,0,6
IFIH1,3290,240,29,421
GCA,950,1067,16,566
KCNH7,56,5,5,50
FIGN,17,43,0,0
GRB14,57,134,0,0
COBLL1,1160,480,0,35
SNORA70F,1,4,0,0
SLC38A11,0,15,0,0
SCN3A,1,21,0,0
SCN2A,2,8,0,7
CSRNP3,2,22,0,0
GALNT3,620,49,0,8
LOC100506124,38,20,0,0
TTC21B,412,181,0,9
SCN1A,4,15,0,0
SCN9A,19,40,0,6
SCN7A,119,665,0,0
XIRP2,2,6,0,0
B3GALT1,0,3,0,0
STK39,623,203,0,10
CERS6,187,87,3,39
MIR4774,0,0,0,0
CERS6-AS1,0,3,0,0
NOSTRIN,109,2569,0,7
SPC25,4,12,0,0
G6PC2,0,0,0,0
ABCB11,1,0,0,0
DHRS9,121,84,2,25
LRP2,18,22,0,0
BBS5,37,26,0,0
KLHL41,9,59,0,0
FASTKD1,363,154,0,11
PPIG,1347,932,0,1
CCDC173,50,12,0,0
PHOSPHO2,14,25,0,0
PHOSPHO2-KLHL23,0,0,0,0
KLHL23,1,0,0,0
SSB,2921,1037,1,41
METTL5,463,396,0,8
UBR3,657,443,1,10
MYO3B,0,5,0,0
SP5,2,15,0,0
GAD1,64,0,0,0
GORASP2,3921,1257,7,56
TLK1,794,498,0,20
METTL8,233,139,0,0
DCAF17,218,187,0,2
CYBRD1,1886,3748,0,16
DYNC1I2,2545,1492,1,47
SLC25A12,260,381,0,15
HAT1,1723,806,1,8
METAP1D,21,55,0,0
DLX1,1,0,0,0
DLX2,2,1,0,0
ITGA6,1378,2192,0,44
PDK1,1020,197,0,22
RAPGEF4-AS1,3,0,0,0
RAPGEF4,830,727,2,12
CDCA7,38,14,4,0
SP3,1902,748,0,92
OLA1,1956,623,8,149
SP9,0,0,0,0
CIR1,1048,835,16,84
SCRN3,100,191,0,0
GPR155,120,164,0,18
WIPF1,1900,968,19,208
CHRNA1,10,11,0,0
CHN1,569,1273,1,20
ATF2,1799,761,1,24
MIR933,4,0,0,0
EVX2,0,0,0,0
HOXD13,0,0,0,0
HOXD12,0,0,0,0
HOXD11,2,0,0,0
HOXD10,0,10,0,0
HOXD9,0,55,0,0
HOXD8,2,78,0,3
HOXD-AS2,0,2,0,0
MIR10B,0,5,0,0
HOXD4,1,12,0,0
HOXD3,1,5,0,0
HOXD1,95,32,0,0
MTX2,580,286,0,14
MIR1246,0,0,0,0
HNRNPA3,11504,5866,5,264
MIR4444-1,1,0,0,0
NFE2L2,6851,2967,25,181
MIR3128,0,0,0,0
LOC100130691,21,39,0,0
AGPS,795,475,0,9
TTC30B,14,17,0,0
TTC30A,45,45,0,0
PDE11A,6,27,0,5
RBM45,122,147,0,0
OSBPL6,79,213,0,0
MIR548N,0,0,0,0
PRKRA,1321,838,0,46
FKBP7,141,238,0,4
PLEKHA3,690,431,1,11
TTN-AS1,32,2,0,0
TTN,568,313,1,6
CCDC141,20,35,0,0
SESTD1,1703,743,2,51
ZNF385B,19,197,0,0
MIR1258,0,0,0,0
CWC22,1320,372,0,1
UBE2E3,807,935,1,5
MIR4437,0,0,0,0
ITGA4,349,125,0,5
CERKL,34,17,0,6
NEUROD1,0,7,0,0
PPP1R1C,84,5,0,0
PDE1A,51,183,0,0
DNAJC10,2331,924,1,41
FRZB,236,954,1,9
NCKAP1,4325,1338,0,109
DUSP19,11,55,0,0
NUP35,556,242,2,21
ZNF804A,34,8,0,0
FSIP2,2,14,0,0
ZC3H15,3387,1265,1,87
ITGAV,4011,1133,0,61
FAM171B,39,7,0,0
ZSWIM2,0,0,0,0
CALCRL,1805,1559,3,49
TFPI,9070,2510,4,168
GULP1,175,305,0,7
MIR561,0,0,0,0
DIRC1,0,0,0,0
COL3A1,304,2263,3,135
MIR1245A,0,0,0,0
MIR1245B,0,0,0,0
MIR3606,0,0,0,0
COL5A2,445,875,0,103
MIR3129,0,1,0,0
WDR75,2105,631,0,5
SLC40A1,603,1862,4,10
ASNSD1,1656,948,3,24
ANKAR,43,54,0,0
OSGEPL1,57,74,0,0
ORMDL1,1691,842,1,30
PMS1,224,205,0,0
MSTN,4,3,0,0
C2orf88,17,21,0,0
HIBCH,266,238,0,15
INPP1,2122,1351,0,7
MFSD6,688,750,1,2
NAB1,1244,793,6,84
GLS,6717,1183,2,76
STAT1,6019,1276,48,1381
STAT4,893,215,12,129
MYO1B,12599,2188,1,133
NABP1,6532,475,5,236
TMEFF2,0,4,0,0
PCGEM1,0,0,0,0
SLC39A10,289,188,0,2
DNAH7,35,14,0,11
STK17B,1470,868,6,121
HECW2,627,382,0,27
CCDC150,1,21,0,0
LOC100130452,0,0,0,0
GTF3C3,609,303,0,4
C2orf66,12,15,0,0
PGAP1,399,236,0,6
ANKRD44,305,406,0,11
SF3B1,11881,3151,1,57
COQ10B,2463,860,0,85
HSPD1,17250,6332,14,162
HSPE1-MOB4,0,0,0,0
HSPE1,2294,641,3,134
MOB4,9,0,0,0
RFTN2,34,154,0,0
MARS2,357,48,0,0
BOLL,10,12,0,0
PLCL1,77,62,0,0
SATB2,56,58,0,0
SATB2-AS1,0,1,0,0
C2orf69,291,222,0,16
TYW5,589,179,0,6
SPATS2L,2107,1335,3,119
KCTD18,218,232,0,0
AOX1,113,290,0,8
BZW1,7068,1931,11,83
CLK1,9890,2526,0,76
PPIL3,249,137,0,0
NIF3L1,294,179,0,0
ORC2,664,256,0,0
FAM126B,445,208,1,38
NDUFB3,789,620,1,63
CFLAR,9008,3893,39,737
CFLAR-AS1,53,1,0,0
CASP10,659,582,0,52
CASP8,555,279,0,14
ALS2CR12,35,19,0,0
TRAK2,1475,1513,0,4
STRADB,191,163,0,8
TMEM237,152,197,0,0
MPP4,5,0,0,0
ALS2,929,431,0,9
CDK15,29,35,0,0
FZD7,96,111,0,0
SUMO1,2558,1669,7,105
NOP58,3799,1516,0,33
SNORD70,0,0,0,0
SNORD11B,0,0,0,0
SNORD11,2,3,0,0
BMPR2,2922,3294,0,86
FAM117B,199,158,0,0
ICA1L,47,106,0,0
WDR12,811,217,0,5
NBEAL1,390,84,0,0
CYP20A1,461,382,0,8
ABI2,1651,759,0,33
RAPH1,2999,1132,0,24
CD28,288,42,0,0
CTLA4,234,33,0,0
ICOS,233,43,0,0
PARD3B,336,376,2,1
NRP2,5069,736,5,46
INO80D,2444,470,1,7
GCSHP3,45,51,0,0
NDUFS1,1179,505,0,20
EEF1B2,15854,8060,19,151
SNORD51,18,28,0,0
SNORA41,66,70,0,0
GPR1,2,1,0,0
ZDBF2,237,98,0,0
ADAM23,10,76,0,0
DYTN,0,6,0,0
MDH1B,16,28,0,10
FASTKD2,1790,520,0,2
MIR3130-2,0,0,0,0
MIR3130-1,0,0,0,0
CPO,4,1,0,0
KLF7,3456,1039,0,23
MIR2355,2,0,0,0
CREB1,1406,476,1,43
METTL21A,419,159,0,0
CCNYL1,729,431,0,20
MIR4775,0,0,0,0
FZD5,497,120,0,8
PLEKHM3,167,125,0,0
LOC100507443,0,0,0,0
CRYGD,1,0,0,0
CRYGC,0,0,0,0
CRYGB,0,0,0,0
CRYGA,0,0,0,0
C2orf80,0,0,0,0
IDH1,377,462,2,10
IDH1-AS1,2,14,0,0
PIKFYVE,1271,356,3,22
PTH2R,6,7,0,0
MAP2,451,542,0,31
UNC80,2,34,1,0
RPE,602,185,0,1
KANSL1L,559,245,0,11
ACADL,68,71,0,0
MYL1,0,0,0,8
LANCL1,414,720,0,19
CPS1,19,60,0,1
CPS1-IT1,0,0,0,0
ERBB4,12,55,3,0
MIR548F2,0,0,0,0
MIR4776-2,0,0,0,0
MIR4776-1,0,0,0,0
IKZF2,109,56,0,0
LOC100130451,1,0,0,0
SPAG16,148,233,3,11
VWC2L,0,0,0,0
VWC2L-IT1,0,0,0,0
BARD1,55,16,0,0
ABCA12,13,16,0,0
ATIC,2046,396,1,26
FN1,15684,10969,28,432
LINC00607,9,59,0,0
MREG,139,57,0,0
PECR,57,108,0,0
TMEM169,6,25,0,1
XRCC5,11220,3362,14,367
MARCH4,2,0,0,0
SMARCAL1,294,234,0,0
RPL37A,47370,29391,76,1033
IGFBP2,524,766,1,4
IGFBP5,898,3669,0,33
TNP1,0,0,0,0
DIRC3,41,15,0,0
TNS1,24922,13252,1,74
RUFY4,1,5,0,0
CXCR2P1,5,9,0,14
CXCR2,21,293,3,95
CXCR1,24,346,4,27
ARPC2,16732,8515,68,1042
GPBAR1,14,19,0,0
AAMP,3565,2206,2,28
PNKD,763,795,7,37
TMBIM1,8006,4498,1,25
SLC11A1,2327,818,8,29
CTDSP1,1637,3020,3,9
MIR26B,3,0,0,0
VIL1,1,2,0,1
USP37,1083,299,0,3
PLCD4,208,101,0,0
ZNF142,381,226,3,15
BCS1L,654,439,0,4
RNF25,943,493,1,1
STK36,334,211,0,0
TTLL4,974,261,0,2
CYP27A1,2063,1194,4,19
PRKAG3,5,0,0,0
WNT6,0,13,0,0
WNT10A,16,0,0,0
CDK5R2,0,0,0,0
LINC00608,0,3,0,0
FEV,0,0,0,0
CRYBA2,0,4,0,0
MIR375,0,0,0,0
LOC100129175,0,0,0,0
IHH,5,6,0,0
MIR3131,0,0,0,0
NHEJ1,324,201,0,8
SLC23A3,51,11,0,0
CNPPD1,1803,1130,6,63
ZFAND2B,1154,1006,0,0
ABCB6,344,156,0,1
ATG9A,1373,842,0,6
ANKZF1,1624,704,0,2
GLB1L,66,51,0,4
STK16,458,399,0,0
TUBA4A,4789,1005,0,1
TUBA4B,122,21,0,0
DNAJB2,2567,2262,0,11
PTPRN,7,4,0,0
MIR153-1,0,0,0,0
RESP18,0,0,0,0
DNPEP,2837,1636,3,6
DES,447,8921,5,3
SPEG,13,600,2,0
GMPPA,831,628,0,0
ASIC4,7,0,0,0
CHPF,452,294,0,3
TMEM198,16,27,0,0
MIR3132,0,0,0,0
OBSL1,154,585,0,7
INHA,0,5,0,0
STK11IP,296,291,0,0
SLC4A3,11,39,0,0
MIR4268,0,0,0,0
EPHA4,719,193,0,0
PAX3,2,0,0,9
CCDC140,0,0,1,2
SGPP2,166,21,0,35
FARSB,1799,703,4,67
MOGAT1,0,1,0,0
ACSL3,3546,694,3,45
KCNE4,1082,387,0,3
SCG2,107,19,0,0
AP1S3,94,15,0,1
WDFY1,2933,657,2,92
MRPL44,1598,308,1,5
SERPINE2,1221,265,4,166
FAM124B,12,83,0,0
CUL3,3316,1107,7,42
DOCK10,813,143,0,3
MIR4439,0,0,0,0
NYAP2,3,3,0,0
LOC646736,1,0,0,0
MIR5702,0,0,0,0
IRS1,281,224,0,8
RHBDD1,672,294,2,56
COL4A4,255,89,0,15
COL4A3,470,81,0,0
MFF,1262,1084,0,87
TM4SF20,0,2,0,9
MIR5703,0,0,0,0
AGFG1,3962,1388,11,158
C2orf83,2,6,0,0
SLC19A3,200,20,3,4
CCL20,21737,188,50,597
DAW1,94,17,0,0
SPHKAP,1,0,0,0
PID1,1444,621,0,31
DNER,147,14,0,0
TRIP12,7365,1475,2,176
FBXO36,41,76,0,0
SLC16A14,10,170,0,0
SP110,716,578,16,405
SP140,237,72,28,211
SP140L,888,357,7,212
SP100,8628,1993,19,441
CAB39,3096,1492,1,41
ITM2C,637,2713,0,9
LOC151484,0,0,0,0
GPR55,37,8,0,0
SPATA3,0,3,0,0
C2orf72,12,129,0,0
PSMD1,3630,1192,0,40
HTR2B,166,1,0,0
ARMC9,307,94,0,0
MIR4777,0,0,0,0
B3GNT7,262,163,1,4
NCL,23723,11546,10,420
SNORA75,37,35,0,0
SNORD20,23,24,0,0
SNORD82,2,0,0,0
LINC00471,6,3,0,0
NMUR1,62,65,0,0
PTMA,28258,21807,40,625
PDE6D,698,431,0,57
COPS7B,629,545,0,9
MIR1471,0,0,0,0
NPPC,4,0,0,0
DIS3L2,303,309,0,1
ALPP,16,2,0,0
ECEL1P2,26,34,0,0
ALPI,0,0,0,0
ECEL1,11,36,0,0
PRSS56,0,0,0,0
CHRND,1,0,0,0
CHRNG,3,1,0,0
TIGD1,116,56,0,3
MIR5001,0,0,0,0
EIF4E2,1301,697,0,0
EFHD1,41,658,0,36
